11:38:52.494404 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:38:52.695113 IP 10.12.100.44.63818 > 10.12.19.23.1419: UDP, length 0
11:38:54.408604 IP 10.12.100.44.63818 > 10.12.19.23.1433: UDP, length 0
11:38:54.408606 IP 10.12.100.44.63818 > 10.12.19.23.18830: UDP, length 0
11:38:54.408699 IP 10.12.100.44.63818 > 10.12.19.23.57958: UDP, length 0
11:38:54.454371 IP 10.12.100.44.63819 > 10.12.19.23.5050: UDP, length 0
11:38:54.456737 IP 10.12.100.44.63819 > 10.12.19.23.18331: UDP, length 0
11:38:54.456744 IP 10.12.100.44.63819 > 10.12.19.23.1055: UDP, length 0
11:38:54.456746 IP 10.12.100.44.63819 > 10.12.19.23.57172: UDP, length 0
11:38:54.456807 IP 10.12.100.44.63819 > 10.12.19.23.18888: UDP, length 0
11:38:54.456810 IP 10.12.100.44.63819 > 10.12.19.23.41524: UDP, length 0
11:38:54.459205 IP 10.12.100.44.63819 > 10.12.19.23.57958: UDP, length 0
11:38:54.459212 IP 10.12.100.44.63819 > 10.12.19.23.18830: UDP, length 0
11:38:54.459272 IP 10.12.100.44.63819 > 10.12.19.23.1433: UDP, length 0
11:38:54.459275 IP 10.12.100.44.63819 > 10.12.19.23.983: UDP, length 0
11:38:54.504771 IP 10.12.100.44.63818 > 10.12.19.23.18996: UDP, length 0
11:38:54.507139 IP 10.12.100.44.63818 > 10.12.19.23.34855: UDP, length 0
11:38:54.507147 IP 10.12.100.44.63818 > 10.12.19.23.685: UDP, length 0
11:38:54.507148 IP 10.12.100.44.63818 > 10.12.19.23.32771: UDP, length 0
11:38:54.507150 IP 10.12.100.44.63818 > 10.12.19.23.1057: UDP, length 0
11:38:54.507192 IP 10.12.100.44.63818 > 10.12.19.23.2049: NFS request xid 0 40 null
11:38:54.509366 IP 10.12.100.44.63818 > 10.12.19.23.18985: UDP, length 0
11:38:54.509374 IP 10.12.100.44.63818 > 10.12.19.23.1049: UDP, length 0
11:38:54.509376 IP 10.12.100.44.63818 > 10.12.19.23.2222: UDP, length 0
11:38:54.509378 IP 10.12.100.44.63818 > 10.12.19.23.18869: UDP, length 0
11:38:54.554932 IP 10.12.100.44.63819 > 10.12.19.23.18996: UDP, length 0
11:38:54.557665 IP 10.12.100.44.63819 > 10.12.19.23.2049: NFS request xid 0 40 null
11:38:54.557673 IP 10.12.100.44.63819 > 10.12.19.23.1057: UDP, length 0
11:38:54.557675 IP 10.12.100.44.63819 > 10.12.19.23.32771: UDP, length 0
11:38:54.557676 IP 10.12.100.44.63819 > 10.12.19.23.685: UDP, length 0
11:38:54.557678 IP 10.12.100.44.63819 > 10.12.19.23.34855: UDP, length 0
11:38:54.560214 IP 10.12.100.44.63819 > 10.12.19.23.18869: UDP, length 0
11:38:54.560222 IP 10.12.100.44.63819 > 10.12.19.23.2222: UDP, length 0
11:38:54.560223 IP 10.12.100.44.63819 > 10.12.19.23.1049: UDP, length 0
11:38:54.560225 IP 10.12.100.44.63819 > 10.12.19.23.18985: UDP, length 0
11:38:54.605172 IP 10.12.100.44.63818 > 10.12.19.23.19489: UDP, length 0
11:38:54.607866 IP 10.12.100.44.63818 > 10.12.19.23.25157: UDP, length 0
11:38:54.607875 IP 10.12.100.44.63818 > 10.12.19.23.1056: UDP, length 0
11:38:54.607877 IP 10.12.100.44.63818 > 10.12.19.23.54711: UDP, length 0
11:38:54.607878 IP 10.12.100.44.63818 > 10.12.19.23.3: UDP, length 0
11:38:54.607927 IP 10.12.100.44.63818 > 10.12.19.23.49190: UDP, length 0
11:38:54.610394 IP 10.12.100.44.63818 > 10.12.19.23.21525: UDP, length 0
11:38:54.610460 IP 10.12.100.44.63818 > 10.12.19.23.16947: UDP, length 0
11:38:54.610464 IP 10.12.100.44.63818 > 10.12.19.23.20031: UDP, length 0
11:38:54.610515 IP 10.12.100.44.63818 > 10.12.19.23.52503: UDP, length 0
11:38:54.655470 IP 10.12.100.44.63819 > 10.12.19.23.19489: UDP, length 0
11:38:54.658459 IP 10.12.100.44.63819 > 10.12.19.23.49190: UDP, length 0
11:38:54.658484 IP 10.12.100.44.63819 > 10.12.19.23.3: UDP, length 0
11:38:54.658486 IP 10.12.100.44.63819 > 10.12.19.23.54711: UDP, length 0
11:38:54.658487 IP 10.12.100.44.63819 > 10.12.19.23.1056: UDP, length 0
11:38:54.658488 IP 10.12.100.44.63819 > 10.12.19.23.25157: UDP, length 0
11:38:54.661043 IP 10.12.100.44.63819 > 10.12.19.23.52503: UDP, length 0
11:38:54.661063 IP 10.12.100.44.63819 > 10.12.19.23.20031: UDP, length 0
11:38:54.661065 IP 10.12.100.44.63819 > 10.12.19.23.16947: UDP, length 0
11:38:54.661161 IP 10.12.100.44.63819 > 10.12.19.23.21525: UDP, length 0
11:38:54.705617 IP 10.12.100.44.63818 > 10.12.19.23.21514: UDP, length 0
11:38:54.708817 IP 10.12.100.44.63818 > 10.12.19.23.49197: UDP, length 0
11:38:54.708825 IP 10.12.100.44.63818 > 10.12.19.23.3702: UDP, length 0
11:38:54.708827 IP 10.12.100.44.63818 > 10.12.19.23.781: UDP, length 0
11:38:54.708829 IP 10.12.100.44.63818 > 10.12.19.23.23608: UDP, length 0
11:38:54.708875 IP 10.12.100.44.63818 > 10.12.19.23.38412: UDP, length 0
11:38:54.711392 IP 10.12.100.44.63818 > 10.12.19.23.29977: UDP, length 0
11:38:54.711400 IP 10.12.100.44.63818 > 10.12.19.23.5355: UDP, length 0
11:38:54.711402 IP 10.12.100.44.63818 > 10.12.19.23.42577: UDP, length 0
11:38:54.711404 IP 10.12.100.44.63818 > 10.12.19.23.9876: UDP, length 0
11:38:54.756094 IP 10.12.100.44.63819 > 10.12.19.23.21514: UDP, length 0
11:38:54.759365 IP 10.12.100.44.63819 > 10.12.19.23.38412: UDP, length 0
11:38:54.759385 IP 10.12.100.44.63819 > 10.12.19.23.23608: UDP, length 0
11:38:54.759472 IP 10.12.100.44.63819 > 10.12.19.23.781: UDP, length 0
11:38:54.759477 IP 10.12.100.44.63819 > 10.12.19.23.3702: UDP, length 0
11:38:54.759479 IP 10.12.100.44.63819 > 10.12.19.23.49197: UDP, length 0
11:38:54.761664 IP 10.12.100.44.63819 > 10.12.19.23.9876: UDP, length 0
11:38:54.761699 IP 10.12.100.44.63819 > 10.12.19.23.42577: UDP, length 0
11:38:54.761701 IP 10.12.100.44.63819 > 10.12.19.23.5355: UDP, length 0
11:38:54.761703 IP 10.12.100.44.63819 > 10.12.19.23.29977: UDP, length 0
11:38:54.806939 IP 10.12.100.44.63818 > 10.12.19.23.22123: UDP, length 0
11:38:54.809910 IP 10.12.100.44.63818 > 10.12.19.23.50164: UDP, length 0
11:38:54.809931 IP 10.12.100.44.63818 > 10.12.19.23.53838: UDP, length 0
11:38:54.809933 IP 10.12.100.44.63818 > 10.12.19.23.34038: UDP, length 0
11:38:54.809934 IP 10.12.100.44.63818 > 10.12.19.23.27473: UDP, length 0
11:38:54.809982 IP 10.12.100.44.63818 > 10.12.19.23.217: UDP, length 0
11:38:54.812457 IP 10.12.100.44.63818 > 10.12.19.23.16832: UDP, length 0
11:38:54.812477 IP 10.12.100.44.63818 > 10.12.19.23.32931: UDP, length 0
11:38:54.812478 IP 10.12.100.44.63818 > 10.12.19.23.20423: UDP, length 0
11:38:54.812553 IP 10.12.100.44.63818 > 10.12.19.23.17207: UDP, length 0
11:38:54.858146 IP 10.12.100.44.63819 > 10.12.19.23.22123: UDP, length 0
11:38:54.860420 IP 10.12.100.44.63819 > 10.12.19.23.217: UDP, length 0
11:38:54.860445 IP 10.12.100.44.63819 > 10.12.19.23.27473: UDP, length 0
11:38:54.860447 IP 10.12.100.44.63819 > 10.12.19.23.34038: UDP, length 0
11:38:54.860448 IP 10.12.100.44.63819 > 10.12.19.23.53838: UDP, length 0
11:38:54.860526 IP 10.12.100.44.63819 > 10.12.19.23.50164: UDP, length 0
11:38:54.863099 IP 10.12.100.44.63819 > 10.12.19.23.17207: UDP, length 0
11:38:54.863107 IP 10.12.100.44.63819 > 10.12.19.23.20423: UDP, length 0
11:38:54.863108 IP 10.12.100.44.63819 > 10.12.19.23.32931: UDP, length 0
11:38:54.863138 IP 10.12.100.44.63819 > 10.12.19.23.16832: UDP, length 0
11:38:54.908703 IP 10.12.100.44.63818 > 10.12.19.23.16420: UDP, length 0
11:38:54.911174 IP 10.12.100.44.63818 > 10.12.19.23.1100: UDP, length 0
11:38:54.911181 IP 10.12.100.44.63818 > 10.12.19.23.18004: UDP, length 0
11:38:54.911183 IP 10.12.100.44.63818 > 10.12.19.23.1804: UDP, length 0
11:38:54.911242 IP 10.12.100.44.63818 > 10.12.19.23.39888: UDP, length 0
11:38:54.911245 IP 10.12.100.44.63818 > 10.12.19.23.49220: UDP, length 0
11:38:54.913618 IP 10.12.100.44.63818 > 10.12.19.23.18958: UDP, length 0
11:38:54.913640 IP 10.12.100.44.63818 > 10.12.19.23.17468: UDP, length 0
11:38:54.913641 IP 10.12.100.44.63818 > 10.12.19.23.1485: UDP, length 0
11:38:54.913643 IP 10.12.100.44.63818 > 10.12.19.23.49262: UDP, length 0
11:38:54.958913 IP 10.12.100.44.63819 > 10.12.19.23.16420: UDP, length 0
11:38:54.961547 IP 10.12.100.44.63819 > 10.12.19.23.49220: UDP, length 0
11:38:54.961556 IP 10.12.100.44.63819 > 10.12.19.23.39888: UDP, length 0
11:38:54.961558 IP 10.12.100.44.63819 > 10.12.19.23.1804: UDP, length 0
11:38:54.961560 IP 10.12.100.44.63819 > 10.12.19.23.18004: UDP, length 0
11:38:54.961561 IP 10.12.100.44.63819 > 10.12.19.23.1100: UDP, length 0
11:38:54.964000 IP 10.12.100.44.63819 > 10.12.19.23.49262: UDP, length 0
11:38:54.964007 IP 10.12.100.44.63819 > 10.12.19.23.1485: UDP, length 0
11:38:54.964009 IP 10.12.100.44.63819 > 10.12.19.23.17468: UDP, length 0
11:38:54.964089 IP 10.12.100.44.63819 > 10.12.19.23.18958: UDP, length 0
11:38:55.010162 IP 10.12.100.44.63818 > 10.12.19.23.35702: UDP, length 0
11:38:55.012478 IP 10.12.100.44.63818 > 10.12.19.23.997: UDP, length 0
11:38:55.012486 IP 10.12.100.44.63818 > 10.12.19.23.1200: UDP, length 0
11:38:55.012488 IP 10.12.100.44.63818 > 10.12.19.23.49214: UDP, length 0
11:38:55.012489 IP 10.12.100.44.63818 > 10.12.19.23.37: UDP, length 0
11:38:55.012535 IP 10.12.100.44.63818 > 10.12.19.23.45441: UDP, length 0
11:38:55.014921 IP 10.12.100.44.63818 > 10.12.19.23.1022: UDP, length 0
11:38:55.014942 IP 10.12.100.44.63818 > 10.12.19.23.32773: UDP, length 0
11:38:55.014943 IP 10.12.100.44.63818 > 10.12.19.23.34862: UDP, length 0
11:38:55.014945 IP 10.12.100.44.63818 > 10.12.19.23.514: [|syslog]
11:38:55.060266 IP 10.12.100.44.63819 > 10.12.19.23.35702: UDP, length 0
11:38:55.062614 IP 10.12.100.44.63819 > 10.12.19.23.49214: UDP, length 0
11:38:55.062623 IP 10.12.100.44.63819 > 10.12.19.23.1200: UDP, length 0
11:38:55.062624 IP 10.12.100.44.63819 > 10.12.19.23.997: UDP, length 0
11:38:55.065039 IP 10.12.100.44.63819 > 10.12.19.23.514: [|syslog]
11:38:55.065048 IP 10.12.100.44.63819 > 10.12.19.23.34862: UDP, length 0
11:38:55.065062 IP 10.12.100.44.63819 > 10.12.19.23.32773: UDP, length 0
11:38:55.065064 IP 10.12.100.44.63819 > 10.12.19.23.1022: UDP, length 0
11:38:55.065121 IP 10.12.100.44.63819 > 10.12.19.23.45441: UDP, length 0
11:38:55.065260 IP 10.12.100.44.63819 > 10.12.19.23.37: UDP, length 0
11:38:55.110518 IP 10.12.100.44.63818 > 10.12.19.23.22914: UDP, length 0
11:38:55.112817 IP 10.12.100.44.63818 > 10.12.19.23.27482: UDP, length 0
11:38:55.112824 IP 10.12.100.44.63818 > 10.12.19.23.44179: UDP, length 0
11:38:55.112826 IP 10.12.100.44.63818 > 10.12.19.23.24644: UDP, length 0
11:38:55.115120 IP 10.12.100.44.63818 > 10.12.19.23.23679: UDP, length 0
11:38:55.115127 IP 10.12.100.44.63818 > 10.12.19.23.28493: UDP, length 0
11:38:55.115128 IP 10.12.100.44.63818 > 10.12.19.23.18255: UDP, length 0
11:38:55.117369 IP 10.12.100.44.63818 > 10.12.19.23.40915: UDP, length 0
11:38:55.117375 IP 10.12.100.44.63818 > 10.12.19.23.53589: UDP, length 0
11:38:55.117377 IP 10.12.100.44.63818 > 10.12.19.23.21: UDP, length 0
11:38:55.161010 IP 10.12.100.44.63819 > 10.12.19.23.22914: UDP, length 0
11:38:55.163216 IP 10.12.100.44.63819 > 10.12.19.23.24644: UDP, length 0
11:38:55.163226 IP 10.12.100.44.63819 > 10.12.19.23.44179: UDP, length 0
11:38:55.163227 IP 10.12.100.44.63819 > 10.12.19.23.27482: UDP, length 0
11:38:55.165519 IP 10.12.100.44.63819 > 10.12.19.23.18255: UDP, length 0
11:38:55.165528 IP 10.12.100.44.63819 > 10.12.19.23.28493: UDP, length 0
11:38:55.165529 IP 10.12.100.44.63819 > 10.12.19.23.23679: UDP, length 0
11:38:55.167889 IP 10.12.100.44.63819 > 10.12.19.23.21: UDP, length 0
11:38:55.167896 IP 10.12.100.44.63819 > 10.12.19.23.53589: UDP, length 0
11:38:55.167898 IP 10.12.100.44.63819 > 10.12.19.23.40915: UDP, length 0
11:38:55.211415 IP 10.12.100.44.63818 > 10.12.19.23.1101: UDP, length 0
11:38:55.213990 IP 10.12.100.44.63818 > 10.12.19.23.1046: UDP, length 0
11:38:55.213998 IP 10.12.100.44.63818 > 10.12.19.23.39213: UDP, length 0
11:38:55.214077 IP 10.12.100.44.63818 > 10.12.19.23.41446: UDP, length 0
11:38:55.216632 IP 10.12.100.44.63818 > 10.12.19.23.20525: UDP, length 0
11:38:55.216641 IP 10.12.100.44.63818 > 10.12.19.23.16573: UDP, length 0
11:38:55.216643 IP 10.12.100.44.63818 > 10.12.19.23.19682: UDP, length 0
11:38:55.219142 IP 10.12.100.44.63818 > 10.12.19.23.34578: UDP, length 0
11:38:55.219149 IP 10.12.100.44.63818 > 10.12.19.23.16938: UDP, length 0
11:38:55.219151 IP 10.12.100.44.63818 > 10.12.19.23.33030: UDP, length 0
11:38:55.261498 IP 10.12.100.44.63819 > 10.12.19.23.1101: UDP, length 0
11:38:55.264287 IP 10.12.100.44.63819 > 10.12.19.23.41446: UDP, length 0
11:38:55.264309 IP 10.12.100.44.63819 > 10.12.19.23.39213: UDP, length 0
11:38:55.264310 IP 10.12.100.44.63819 > 10.12.19.23.1046: UDP, length 0
